City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
3,Luanda,AO,79.97,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
6,Mananjary,MG,75.24,light rain,-21.2167,48.3333,Vahiny Lodge
7,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Denpasar,ID,78.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
15,Japura,ID,73.13,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
16,Hays,US,73.31,clear sky,30.0502,-98.0336,Sinya on Lone Man Creek
18,Busselton,AU,70.61,broken clouds,-33.65,115.3333,Observatory Guest House
27,Butaritari,KI,80.55,light rain,3.0707,172.7902,Isles Sunset Lodge
34,Mahanoro,MG,74.95,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
36,Waingapu,ID,78.24,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
40,Owando,CG,70.47,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
42,Santo Domingo,DO,82.08,broken clouds,18.5001,-69.9886,Cabañas City Heart
43,Quirinopolis,BR,75.58,broken clouds,-18.4483,-50.4517,Rota Hotéis - Quirinópolis GO
49,Caravelas,BR,77.5,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
50,General Pico,AR,72.7,few clouds,-35.6566,-63.7568,Euskadi Hotel
56,Banjar,ID,76.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
58,Kapaa,US,81.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
62,Namatanai,PG,81.46,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
65,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
74,Sharjah,AE,82.38,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
76,Dargaville,NZ,73.62,clear sky,-35.9333,173.8833,Parkview Motel
77,Cidreira,BR,75.06,overcast clouds,-30.1811,-50.2056,Hotel Castelo
80,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
81,Pochutla,MX,88.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
82,Ahipara,NZ,71.73,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
83,Bengkulu,ID,75.94,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
86,Saquena,PE,79.02,broken clouds,-4.6667,-73.5167,
87,Rikitea,PF,78.64,few clouds,-23.1203,-134.9692,People ThankYou
89,Porto Novo,BJ,83.48,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
96,Sao Filipe,CV,71.82,few clouds,14.8961,-24.4956,Hotel Xaguate
97,Matamoros,MX,84.31,few clouds,25.5333,-103.25,Quinta Belem
99,Amarante Do Maranhao,BR,73.89,light rain,-5.5667,-46.7422,Hotéis Caçulinha
100,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
101,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
102,Moranbah,AU,77.23,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
104,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
113,La Libertad,EC,82.06,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
114,Navirai,BR,74.48,light rain,-23.065,-54.1906,Dubai Hotel - Também sua casa!
117,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
121,Faanui,PF,81.12,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
123,Nelson Bay,AU,71.01,light rain,-32.7167,152.15,Mantra Nelson Bay
125,Nueva Loja,EC,73.42,heavy intensity rain,0.0847,-76.8828,Limoncocha Great Hotel
126,Vaini,TO,78.96,thunderstorm,-21.2,-175.2,Keleti Beach Resort
127,Sao Jose Da Coroa Grande,BR,80.1,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
129,Sabang,ID,82.17,light rain,5.8933,95.3214,Hotel Citra
131,Atar,MR,74.61,clear sky,20.5169,-13.0499,Oumou Elghoura
136,Bara,NG,82.4,overcast clouds,10.3744,10.7288,
141,Werda,BW,75.85,broken clouds,-25.2667,23.2833,
142,Kualakapuas,ID,73.78,broken clouds,-3.0091,114.3876,Guest House Izonk
143,Lorengau,PG,81.54,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
145,Atuona,PF,78.75,scattered clouds,-9.8,-139.0333,Villa Enata
147,Mount Isa,AU,82.17,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
148,Bambous Virieux,MU,78.22,few clouds,-20.3428,57.7575,Casa Tia Villa
153,Cabo San Lucas,MX,76.6,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
156,Tahoua,NE,82.58,clear sky,14.8888,5.2692,Bungalows Guesthouse
157,Mecca,SA,73.71,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
158,Kamareddi,IN,75.0,scattered clouds,18.3167,78.35,Mahadev sena youth
159,Isangel,VU,82.53,broken clouds,-19.55,169.2667,Tanna Lodge
163,Piacabucu,BR,79.45,broken clouds,-10.4056,-36.4344,Piaçabuçu News
164,Pangkalanbuun,ID,73.4,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
165,Kidal,ML,77.79,few clouds,18.4411,1.4078,
166,Dingle,PH,75.24,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
170,Biak,ID,76.44,scattered clouds,-0.9131,122.8766,Penginapan Kim
172,Posse,BR,75.54,overcast clouds,-14.0931,-46.3694,Pousada das Palmeiras
175,Dalbandin,PK,72.99,scattered clouds,28.8947,64.4101,Sanjrani House
176,Felipe Carrillo Puerto,MX,89.11,few clouds,19.5833,-88.05,Hotel La Ceiba
177,Okitipupa,NG,80.71,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
180,Bubaque,GW,75.51,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
187,Ouadda,CF,74.39,broken clouds,8.0777,22.4007,
191,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
192,Riverdale,US,70.93,few clouds,33.5726,-84.4133,Travelodge by Wyndham Forest Park Atlanta South
196,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
198,Tual,ID,83.61,heavy intensity rain,-5.6667,132.75,Grand Vilia Hotel
200,Poso,ID,77.22,moderate rain,-1.3959,120.7524,Hotel 77 Poso
202,Pisco,PE,73.45,light rain,-13.7,-76.2167,Hotel San Isidro Oficial
205,Phangnga,TH,77.04,overcast clouds,8.4509,98.5298,Sunimit Mansion
206,Araouane,ML,75.16,clear sky,18.9048,-3.5265,
210,Cozumel,MX,84.27,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
