City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,62.47,65,100,5.28,overcast clouds
1,Carnarvon,AU,-24.8667,113.6333,75.27,88,0,6.91,clear sky
2,Saskylakh,RU,71.9167,114.0833,-34.37,100,98,3.74,overcast clouds
3,Luanda,AO,-8.8368,13.2343,79.97,81,85,10.71,overcast clouds
4,Broome,US,42.2506,-75.833,43.66,64,0,1.99,clear sky
5,Inza,RU,53.8533,46.3586,7.12,92,93,11.21,overcast clouds
6,Mananjary,MG,-21.2167,48.3333,75.24,92,98,2.68,light rain
7,Puerto Ayora,EC,-0.7393,-90.3518,82.36,85,72,5.99,broken clouds
8,Provideniya,RU,64.3833,-173.3,19.51,68,0,38.01,clear sky
9,Yerbogachen,RU,61.2767,108.0108,-15.79,99,83,6.38,broken clouds
10,Denpasar,ID,-8.65,115.2167,78.46,88,20,4.61,few clouds
11,Svetlogorsk,BY,52.6333,29.7333,18.5,67,3,10.65,clear sky
12,Shache,CN,38.4167,77.2406,49.71,22,68,5.79,broken clouds
13,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-11.56,98,7,0.22,clear sky
14,Portree,GB,57.4129,-6.1942,42.53,78,11,18.9,few clouds
15,Japura,ID,-0.3167,102.35,73.13,99,99,1.07,overcast clouds
16,Hays,US,30.0502,-98.0336,73.31,38,0,1.01,clear sky
17,Hobart,AU,-42.8794,147.3294,58.26,65,75,9.22,broken clouds
18,Busselton,AU,-33.65,115.3333,70.61,52,66,9.89,broken clouds
19,Yellowknife,CA,62.456,-114.3525,0.41,65,93,15.99,overcast clouds
20,Chokurdakh,RU,70.6333,147.9167,-16.92,100,96,6.13,overcast clouds
21,Hermanus,ZA,-34.4187,19.2345,66.79,83,0,10.78,clear sky
22,Shingu,JP,33.7333,135.9833,46.6,69,90,4.54,overcast clouds
23,Rongcheng,CN,30.634,117.8517,61.92,72,86,2.98,overcast clouds
24,Mar Del Plata,AR,-38.0023,-57.5575,67.87,62,0,6.91,clear sky
25,Albany,US,42.6001,-73.9662,43.21,72,87,2.73,overcast clouds
26,Codrington,AU,-38.2667,141.9667,60.04,64,71,6.98,broken clouds
27,Butaritari,KI,3.0707,172.7902,80.55,82,64,16.53,light rain
28,Venlo,NL,51.3667,6.1667,50.72,44,2,1.01,clear sky
29,Marsa Matruh,EG,31.3525,27.2453,53.51,63,69,24.94,broken clouds
30,Asau,RO,46.4333,26.4,22.95,78,100,8.3,overcast clouds
